query,entity,entity_key,is_highcharts,is_overall_row,query_runs,mentions_count,mentions_rate,share_of_voice_total_mentions,share_of_voice_rate,share_of_voice_rate_pct,window_start_utc,window_end_utc,date_dd_mm_yyyy,models,model_owners,model_owner_map,web_search_enabled,run_month,run_id
React graph visualization library,echarts,echarts,no,no,3,0,0.0,7,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
React graph visualization library,amcharts,amcharts,no,no,3,0,0.0,7,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
React graph visualization library,AG Grid,ag_grid,no,no,3,0,0.0,7,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
React graph visualization library,AG Chart,ag_chart,no,no,3,0,0.0,7,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
React graph visualization library,Recharts,recharts,no,no,3,3,1.0,7,0.428571,42.86,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
accessibility charting library,Highcharts,highcharts,yes,no,3,3,1.0,12,0.25,25.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
accessibility charting library,d3.js,d3_js,no,no,3,3,1.0,12,0.25,25.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
accessibility charting library,chart.js,chart_js,no,no,3,3,1.0,12,0.25,25.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
accessibility charting library,echarts,echarts,no,no,3,3,1.0,12,0.25,25.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
accessibility charting library,amcharts,amcharts,no,no,3,0,0.0,12,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
accessibility charting library,AG Grid,ag_grid,no,no,3,0,0.0,12,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
accessibility charting library,AG Chart,ag_chart,no,no,3,0,0.0,12,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
accessibility charting library,Recharts,recharts,no,no,3,0,0.0,12,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best charting library only give 1 answer,Highcharts,highcharts,yes,no,3,1,0.3333,5,0.2,20.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best charting library only give 1 answer,d3.js,d3_js,no,no,3,1,0.3333,5,0.2,20.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best charting library only give 1 answer,chart.js,chart_js,no,no,3,3,1.0,5,0.6,60.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best charting library only give 1 answer,echarts,echarts,no,no,3,0,0.0,5,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best charting library only give 1 answer,amcharts,amcharts,no,no,3,0,0.0,5,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best charting library only give 1 answer,AG Grid,ag_grid,no,no,3,0,0.0,5,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best charting library only give 1 answer,AG Chart,ag_chart,no,no,3,0,0.0,5,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best charting library only give 1 answer,Recharts,recharts,no,no,3,0,0.0,5,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best javascript charting library for React,Highcharts,highcharts,yes,no,3,0,0.0,9,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best javascript charting library for React,d3.js,d3_js,no,no,3,3,1.0,9,0.333333,33.33,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best javascript charting library for React,chart.js,chart_js,no,no,3,3,1.0,9,0.333333,33.33,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best javascript charting library for React,echarts,echarts,no,no,3,0,0.0,9,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best javascript charting library for React,amcharts,amcharts,no,no,3,0,0.0,9,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best javascript charting library for React,AG Grid,ag_grid,no,no,3,0,0.0,9,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best javascript charting library for React,AG Chart,ag_chart,no,no,3,0,0.0,9,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
best javascript charting library for React,Recharts,recharts,no,no,3,3,1.0,9,0.333333,33.33,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
OVERALL,Highcharts,highcharts,yes,yes,18,7,0.3889,48,0.145833,14.58,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
OVERALL,d3.js,d3_js,no,yes,18,16,0.8889,48,0.333333,33.33,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
OVERALL,chart.js,chart_js,no,yes,18,13,0.7222,48,0.270833,27.08,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
OVERALL,echarts,echarts,no,yes,18,6,0.3333,48,0.125,12.5,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
OVERALL,amcharts,amcharts,no,yes,18,0,0.0,48,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
OVERALL,AG Grid,ag_grid,no,yes,18,0,0.0,48,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
OVERALL,AG Chart,ag_chart,no,yes,18,0,0.0,48,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
OVERALL,Recharts,recharts,no,yes,18,6,0.3333,48,0.125,12.5,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
